family	female	male	mid_MW	mid_MH	mid_FSIEI	mid_DFB	mid_PFB	mid_cir	mid_rect	mid_DisAMa	mid_ProAMa	mid_ovoid	MW	MH	FSIEI	DFB	PFB	cir	rect	DisAMa	ProAMa	ovoid
70-6-15XExcel	70-6-15	Excel	2.268605005	4.799510235	2.077285	0.44436	0.585065	0.20862	0.484765	96.69213	104.611275	0.133235	2.216884917	4.664638245	2.057156	0.43487	0.594668	0.203332	0.484548	90.98683	106.879012	0.157814
70-6-15XPawnee	70-6-15	Pawnee	2.177479928	4.949809357	2.21815	0.364035	0.558775	0.220505	0.485645	90.723705	104.203915	0.11095	1.990052897	4.364281379	2.15445	0.39897	0.61151	0.217	0.48856	95.14371	108.43542	0.123965
78-15-51XExcel	78-15-51	Excel	2.451889877	4.620717092	1.840605	0.46001	0.55833	0.17801	0.46687	103.16626	107.08551	0.137405	2.417984538	4.309527737	1.750675	0.445401667	0.537265	0.158586667	0.466531667	105.104925	109.83788	0.122185
99-10-3XPawnee	99-10-3	Pawnee	2.440223301	4.63753696	1.87097	0.41449	0.60324	0.17416	0.48614	105.343835	117.25555	0.166165	2.215981073	4.036980577	1.790095	0.37402	0.622785	0.165645	0.461035	100.125195	119.702465	0.18893
99-12-20XLakota	99-12-20	Lakota	2.216077348	4.548342371	2.011205	0.34363	0.590465	0.193905	0.47494	90.383285	113.873185	0.141885	1.989319348	3.314850472	1.63406	0.352823333	0.62537	0.13825	0.467826667	105.33108	127.0963167	0.16984
AmlingXExcel	Amling	Excel	2.148223516	4.607446761	2.125575	0.448505	0.6248	0.215035	0.49311	94.697135	104.70025	0.164685	1.884329177	3.520024161	1.832809375	0.425064375	0.6382225	0.17347	0.486139375	97.4954675	118.7573488	0.1952675
BartonXJackson	Barton	Jackson	2.493288087	4.704475999	1.852275	0.530015	0.618545	0.175545	0.510335	115.31184	119.00913	0.11291	2.043165323	3.551615086	1.717630625	0.546465	0.5982325	0.156734375	0.497376875	116.2352869	117.98059	0.072884375
ByrdXMandan	Byrd	Mandan	2.179440498	4.639342984	2.07354	0.473445	0.576755	0.20674	0.49567	104.88087	106.318095	0.05732	1.979842504	3.721171403	1.845600592	0.432735503	0.577083432	0.174335503	0.473985207	105.4460805	110.4524947	0.106105917
CaddoXByrd	Caddo	Byrd	2.127738918	4.732509495	2.173265	0.365285	0.462435	0.216135	0.44565	85.35572	92.11418	0.07467	2.11995281	4.313618888	2.00068	0.462458333	0.500296667	0.195901667	0.466573333	101.15004	101.7689383	0.058555
CaddoXCape Fear	Caddo	Cape Fear	2.20644751	4.411205939	1.968775	0.40023	0.427675	0.18507	0.44108	93.56948	91.95857	0.070995	2.049484346	4.121439564	1.9729	0.437206667	0.501216667	0.190106667	0.463676667	102.3468733	103.8247733	0.067766667
Carlson CenterXByrd	Carlson Center	Byrd	1.959953324	4.048578079	2.005975	0.38509	0.582065	0.19445	0.479715	91.256675	109.062995	0.122345	1.768357266	3.247991933	1.803905333	0.380322667	0.558094	0.165606667	0.454252	94.85449267	109.7580373	0.120807333
ExcelX86-3-32	Excel	86-3-32	2.402792132	4.323676517	1.757165	0.52971	0.61069	0.168895	0.48553	114.02649	114.075035	0.119455	2.029446242	3.845386817	1.863628814	0.476931356	0.627442373	0.180029661	0.483733898	104.0677644	115.749822	0.197708475
