family_parents,full_id,female,male,PC1,PC2,PC3,per,area,WMh,MW,HMw,MH,FSIEI,FSIEII,DFB,PFB,FST,ell,cir,rect,DisAMi,DisAMa,ProAMi,ProAMa,ovo,obov,HAsyob,WWPo,ecc,FSIIn,EccAI
70-6-15XExcel,70-6-15XExcel_06_09_003,70-6-15,Excel,-2.076297943,-1.220095686,0.943780613,10.20779632,6.80150026,2.048620424,2.082826933,4.221294314,4.365356313,2.04674,2.00774,0.37781,0.63086,0.6017,0.049,0.79648,0.47642,76.71429,82.42978,106.5595,111.85329,0.20976,0,0.29764,0.58086,0.76872,2.00948,0.36715
70-6-15XExcel,70-6-15XExcel_06_09_011,70-6-15,Excel,1.778489471,2.245846266,-2.114895255,11.86324023,8.850151173,2.273205572,2.305853139,4.880144853,5.059048316,2.13787,2.09455,0.51184,0.56073,0.92805,0.04943,0.7848,0.49375,94.50508,104.15439,118.40712,103.55513,0.10394,0.03028,0.11075,0.53336,0.77146,2.09646,0.37313
70-6-15XExcel,70-6-15XExcel_06_09_066,70-6-15,Excel,-2.742899779,1.48821024,-1.292042083,11.67897922,8.310582255,2.153210835,2.175228573,4.922760408,5.103068901,2.28395,2.24035,0.39048,0.57423,0.68328,0.04889,0.76977,0.47845,80.52068,82.2804,94.80566,96.45941,0.17309,0,0.22956,0.5575,0.77111,2.24464,0.3651
70-6-15XExcel,70-6-15XExcel_06_09_070,70-6-15,Excel,-3.925652197,0.954737013,2.164724172,10.14198834,6.755883318,2.069164842,2.086427598,4.252715149,4.328162034,2.02253,2.00731,0.39808,0.60083,0.66621,0.04588,0.7997,0.4761,82.96321,81.41364,102.28654,106.29946,0.17309,0,0.22471,0.5466,0.78587,2.01098,0.34826
70-6-15XExcel,70-6-15XExcel_06_09_107,70-6-15,Excel,-0.46219989,1.084884665,0.638138678,11.02255303,8.403522175,2.421326771,2.434088342,4.413130973,4.467555658,1.79469,1.78194,0.49614,0.60669,0.8182,0.04459,0.83259,0.49802,97.00912,104.65594,125.2932,116.22777,0.12919,0,0.13672,0.51371,0.78795,1.78272,0.36362
70-6-15XPawnee,70-6-15XPawnee_07_10_004,70-6-15,Pawnee,2.373581929,0.02099513,-1.962652226,10.18025788,6.459532357,1.906346772,1.939018392,4.083035906,4.362229463,2.20488,2.09523,0.41989,0.64308,0.65618,0.04977,0.77566,0.49349,78.91925,93.95329,119.60557,109.87598,0.14151,0,0.22726,0.49755,0.74703,2.09986,0.39673
70-6-15XPawnee,70-6-15XPawnee_07_10_005,70-6-15,Pawnee,-1.981185574,0.734490683,-3.860449832,10.32276774,6.639081907,2.017604302,2.041087402,4.263244125,4.366333295,2.10402,2.07396,0.37805,0.57994,0.6538,0.04758,0.79034,0.48363,73.76998,96.33413,108.70877,106.99486,0.10642,0.01495,0.1634,0.47244,0.77947,2.07903,0.35138
78-15-51XExcel,78-15-51XExcel_06_10_010,78-15-51,Excel,0.292221093,3.257000031,0.519034109,11.1732503,8.409002976,2.458073827,2.476151705,4.498955261,4.577206661,1.81826,1.80041,0.51995,0.47578,1.11135,0.04225,0.82934,0.46418,99.60965,109.29121,95.03449,98.83261,0.04595,0.07934,0.05098,0.52019,0.78583,1.8039,0.34184
78-15-51XExcel,78-15-51XExcel_06_10_015,78-15-51,Excel,-2.018000488,2.442894068,-0.767187934,10.25137225,7.163312177,2.291153577,2.325878435,4.135694016,4.178875085,1.76373,1.7651,0.41775,0.50389,0.8289,0.03776,0.84168,0.46768,82.37429,104.14516,88.3888,110.32938,0.14481,0.00963,0.10939,0.57057,0.78799,1.76649,0.3372
78-15-51XExcel,78-15-51XExcel_06_10_027,78-15-51,Excel,1.439557736,1.926378236,0.289593507,9.581765764,6.500968931,2.269067076,2.28348961,3.759388296,3.811144198,1.64521,1.62687,0.45875,0.55974,0.82435,0.03623,0.8585,0.47002,96.20198,112.07069,123.98948,120.22749,0.12885,0.00957,0.10983,0.52903,0.78511,1.62631,0.34405
